ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,result
1,20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,1
2,120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,1
3,90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,0
4,50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,0
5,50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,0
6,50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,0
7,5.00E+05,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,0
8,1.00E+05,2,2,2,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,0
9,140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,0
10,20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0
11,2.00E+05,2,3,2,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,0
12,260000,2,1,2,51,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,0
13,630000,2,2,2,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,0
14,70000,1,2,2,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,1
15,250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,0
16,50000,2,3,3,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0
17,20000,1,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,1
18,320000,1,1,1,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,0
19,360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0
20,180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0
21,130000,2,3,2,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,0
22,120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,1
23,70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,1
24,450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,1
25,90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,0
26,50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,0
27,60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,1
28,50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,0
29,50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,0
30,50000,1,1,2,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,0
31,230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,0
32,50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1
33,1.00E+05,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,0
34,5.00E+05,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,0
35,5.00E+05,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,0
36,160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,0
37,280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,0
38,60000,2,2,2,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,0
39,50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,1
40,280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,0
41,360000,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,0
42,70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,0
43,10000,1,2,2,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,0
44,140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,0
45,40000,2,1,2,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,0
46,210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,1
47,20000,2,1,2,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,1
48,150000,2,5,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1
49,380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,0
50,20000,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,0
51,70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,1
52,1.00E+05,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,0
53,310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,0
54,180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,0
55,150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,0
56,5.00E+05,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,0
57,180000,2,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,0
58,180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,0
59,2.00E+05,2,1,2,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0
60,4.00E+05,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,0
61,5.00E+05,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1
62,70000,1,2,1,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,0
63,50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,1
64,50000,2,2,1,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1
65,130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0
66,2.00E+05,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,1
67,10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,1
68,210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,0
69,130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0
70,20000,1,5,2,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0
71,80000,1,1,2,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0
72,320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,1
73,2.00E+05,2,2,1,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,0
74,290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0
75,340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,0
76,20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,0
77,50000,1,3,2,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,0
78,3.00E+05,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,0
79,30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1
80,240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1
81,470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,0
82,360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,0
83,60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1
84,4.00E+05,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,0
85,50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,0
86,160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,0
87,360000,2,1,1,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1
88,160000,2,2,2,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,0
89,130000,2,1,1,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,0
90,20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0
91,2.00E+05,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,1
92,280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0
